Lat,Long,Temp_Max,Temp_Min,Year
10.77592,76.6438,29.4,20.98,2005
10.77592,76.6438,29.2,20.53,2006
10.77592,76.6438,29.43,20.58,2007
10.77592,76.6438,29.15,20.22,2008
10.77592,76.6438,29.9,20.73,2009
10.77592,76.6438,29.61,21.18,2010
10.77592,76.6438,29.21,20.28,2011
10.77592,76.6438,30.42,20.77,2012
10.77592,76.6438,30.01,21.0,2013
10.77592,76.6438,29.86,21.1,2014
10.77592,76.6438,30.19,21.07,2015
10.8155,78.6965,33.93,23.05,1997
10.8155,78.6965,34.04,23.41,1998
10.8155,78.6965,33.53,22.57,1999
10.8155,78.6965,33.76,22.9,2000
10.8155,78.6965,33.78,23.01,2001
10.8155,78.6965,34.71,23.23,2002
10.8155,78.6965,34.09,23.2,2003
10.8155,78.6965,33.15,22.46,2004
10.8155,78.6965,33.37,23.19,2005
10.8155,78.6965,33.19,22.72,2006
10.8155,78.6965,33.88,22.87,2007
10.8155,78.6965,32.86,22.46,2008
10.8155,78.6965,34.45,23.16,2009
10.8155,78.6965,33.75,23.22,2010
10.8155,78.6965,33.38,22.68,2011
10.8155,78.6965,34.14,22.98,2012
10.8155,78.6965,34.62,23.43,2013
10.8155,78.6965,34.26,23.27,2014
10.8155,78.6965,33.53,23.06,2015
10.83331,78.60366,33.93,23.05,1997
10.83331,78.60366,34.04,23.41,1998
10.83331,78.60366,33.53,22.57,1999
10.83331,78.60366,33.76,22.9,2000
10.83331,78.60366,33.78,23.01,2001
10.83331,78.60366,34.71,23.23,2002
10.83331,78.60366,34.09,23.2,2003
10.83331,78.60366,33.15,22.46,2004
10.83331,78.60366,33.37,23.19,2005
10.83331,78.60366,33.19,22.72,2006
10.83331,78.60366,33.88,22.87,2007
10.83331,78.60366,32.86,22.46,2008
10.83331,78.60366,34.45,23.16,2009
10.83331,78.60366,33.75,23.22,2010
10.83331,78.60366,33.38,22.68,2011
10.83331,78.60366,34.14,22.98,2012
10.83331,78.60366,34.62,23.43,2013
10.83331,78.60366,34.26,23.27,2014
10.83331,78.60366,33.53,23.06,2015
11.01565,76.96833,29.59,19.89,1997
11.01565,76.96833,29.6,20.14,1998
11.01565,76.96833,29.29,19.33,1999
11.01565,76.96833,29.83,19.47,2000
11.01565,76.96833,29.54,19.81,2001
11.01565,76.96833,30.33,19.83,2002
11.01565,76.96833,30.27,20.09,2003
11.01565,76.96833,29.29,19.5,2004
